algorithm,RQ,experiment_id,iteration,no_datapoints,no_features,preprocessing_energy(J),preprocessing_time(s),train_energy(J),train_time(s),predict_energy(J),predict_time(s),datatype,accuracy,precision,recall,f1
AdaBoost,2.2,111,17,3900,817,0.024911422,1.464621067,0.314241207,1.705386877,0.067650161,1.510108948,float64,0.966507177,0.903846154,0.839285714,0.87037037
Random Forest,2.2,93,24,3900,2451,0.017290804,1.45125699,0.759350016,2.653522968,0.087678371,1.524147749,float64,0.976076555,1,0.821428571,0.901960784
Random Forest,2.1,83,22,2730,8169,0.010475939,1.456558943,1.33942893,2.696226835,0.067314011,1.508490801,float64,0.972649573,0.984496124,0.808917197,0.888111888
AdaBoost,2.1,102,20,3119,8169,0.012446612,1.433019161,0.49815969,2.151547909,0.075692267,1.497282743,float64,0.963378176,0.928104575,0.788888889,0.852852853
SVM,2.1,7,9,1169,8169,0.00990633,1.440956831,0.069548165,1.519942999,0.042903151,1.495890856,float64,0.832669323,0.437956204,0.895522388,0.588235294
Bagging Classifier,2.1,123,3,2730,8169,0.006941258,1.455408812,0.424750273,1.855426073,0.037749392,1.47710371,float64,0.95982906,0.910447761,0.777070064,0.838487973
KNN,2.1,61,15,3509,8169,0.011367238,1.441161871,0.012866229,1.44098115,0.224877302,1.687901735,float64,0.922259136,0.717948718,0.693069307,0.705289673
Decision Tree,2.2,35,10,3900,4084,0.022104621,1.449390173,0.129734144,1.579192877,0.049099773,1.50739193,float64,0.963516746,0.875576037,0.848214286,0.861678005
Random Forest,2.2,95,3,3900,4084,0.024619787,1.45697403,1.396095289,2.862545967,0.104570537,1.52955389,float64,0.976674641,0.974358974,0.848214286,0.906921241
Decision Tree,2.2,36,19,3900,4901,0.035146223,1.447174788,0.613431128,1.512524128,0.084193632,1.49977088,float64,0.963516746,0.875576037,0.848214286,0.861678005
Decision Tree,2.1,25,27,1950,8169,0.009974025,1.466933012,0.047642719,1.525549173,0.032856473,1.475194216,float64,0.954545455,0.849056604,0.803571429,0.825688073
KNN,2.1,67,19,1169,8169,0.010341868,1.441577911,0.003814838,1.444118023,0.057112268,1.468604088,float64,0.916334661,0.727272727,0.597014925,0.655737705
AdaBoost,2.1,101,16,3509,8169,0.010820453,1.456258059,0.588035831,2.29028511,0.078958438,1.515365124,float64,0.955481728,0.860962567,0.797029703,0.827763496
Random Forest,2.1,87,3,1169,8169,0.010102119,1.449716091,0.35961812,1.917431116,0.037653433,1.501453161,float64,0.958167331,1,0.686567164,0.814159292
Decision Tree,2.1,21,23,3509,8169,0.011888861,1.449563742,0.095448681,1.537200928,0.051625469,1.490361929,float64,0.95282392,0.854054054,0.782178218,0.816537468
Random Forest,2.2,96,5,3900,4901,0.017571939,1.458547831,1.10139978,2.939420938,0.098567203,1.517883301,float64,0.979066986,0.994764398,0.848214286,0.915662651
Decision Tree,2.1,27,14,1169,8169,0.006494223,1.43625021,0.068198069,1.470720053,0.024788699,1.451314211,float64,0.950199203,0.838709677,0.776119403,0.80620155
KNN,2.1,61,24,3509,8169,0.010678687,1.456748962,0.01233193,1.46233511,0.221565624,1.691482067,float64,0.922259136,0.717948718,0.693069307,0.705289673
AdaBoost,2.2,120,25,3900,8169,0.000883877,1.432890892,0.92328072,2.404103994,0.05886155,1.509475946,float64,0.968301435,0.913043478,0.84375,0.877030162
AdaBoost,2.2,118,20,3900,6535,0.026414995,1.464596033,0.522225258,2.17437911,0.081992631,1.508559942,float64,0.968899522,0.913461538,0.848214286,0.87962963
Bagging Classifier,2.1,124,25,2340,8169,0.010701945,1.43977499,0.240207541,1.78331399,0.039835946,1.492255926,float64,0.956131605,0.887931034,0.768656716,0.824
AdaBoost,2.1,103,0,2730,8169,0.007747856,1.457817078,0.620119529,2.040923119,0.053160243,1.494595051,float64,0.956410256,0.873239437,0.789808917,0.829431438
Random Forest,2.1,83,18,2730,8169,0.006887468,1.457047939,1.347585658,2.718410969,0.066471156,1.525572062,float64,0.976068376,1,0.821656051,0.902097902
AdaBoost,2.2,115,23,3900,4084,0.026302274,1.454964876,1.858934577,1.908290148,0.053481278,1.501952171,float64,0.970095694,0.914285714,0.857142857,0.884792627
AdaBoost,2.2,113,7,3900,2451,0.024519599,1.452853918,0.358795797,1.877825022,0.062315727,1.541115999,float64,0.968301435,0.909090909,0.848214286,0.877598152
KNN,2.2,76,13,3900,4901,0.020817574,1.449064016,0.01991879,1.459402084,0.242834508,1.741177797,float64,0.879784689,1,0.102678571,0.186234818
KNN,2.2,71,12,3900,817,0.024356905,1.461508989,0.007412019,1.47764802,0.271555794,1.729434252,float64,0.867822967,1,0.013392857,0.026431718
SVM,2.1,6,13,1559,8169,0.010138875,1.456463814,0.125987621,1.554504156,0.047225474,1.512703896,float64,0.828101644,0.435897436,0.944444444,0.596491228
AdaBoost,2.2,120,18,3900,8169,0.000815681,1.42112112,0.977567144,2.406907797,0.066931723,1.526633263,float64,0.968301435,0.913043478,0.84375,0.877030162
Decision Tree,2.1,22,11,3119,8169,0.011226887,1.452106953,0.087247596,1.537621021,0.04145238,1.491127014,float64,0.954409567,0.843930636,0.811111111,0.827195467
SVM,2.2,17,28,3900,5718,0.043289647,1.45767808,0.623224172,2.009327888,0.208615572,1.676218987,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.1,86,2,1559,8169,0.010885735,1.455446959,0.553705525,2.072048903,0.037262356,1.497761965,float64,0.959641256,1,0.7,0.823529412
Decision Tree,2.2,37,7,3900,5718,0.015867303,1.447990894,0.112854822,1.591438055,0.056362258,1.504183769,float64,0.96291866,0.861607143,0.861607143,0.861607143
AdaBoost,2.2,117,3,3900,5718,0.02597886,1.457211256,0.525812802,2.134309053,0.068472483,1.531467676,float64,0.970095694,0.914285714,0.857142857,0.884792627
Bagging Classifier,2.1,127,22,1169,8169,0.009429306,1.446197033,0.121086209,1.559707165,0.02983471,1.449928045,float64,0.952191235,0.830769231,0.805970149,0.818181818
Random Forest,2.2,94,27,3900,3268,0.017905091,1.483549833,1.266054966,2.69089222,0.074933803,1.540078163,float64,0.976674641,0.984293194,0.839285714,0.906024096
Bagging Classifier,2.1,128,10,779,8169,0.010143611,1.450096846,0.138414781,1.524384022,0.022707803,1.463711977,float64,0.967164179,0.972222222,0.777777778,0.864197531
Random Forest,2.2,98,6,3900,6535,0.025216956,1.469995975,1.789794313,3.203891993,0.116131967,1.541555882,float64,0.976076555,0.989361702,0.830357143,0.902912621
AdaBoost,2.2,111,18,3900,817,0.025352571,1.447535038,0.222851875,1.694597006,0.074498762,1.519831181,float64,0.965909091,0.903381643,0.834821429,0.86774942
AdaBoost,2.2,120,4,3900,8169,0.00081583,1.427354336,0.938914355,2.386118889,0.084826205,1.497853041,float64,0.968301435,0.913043478,0.84375,0.877030162
Decision Tree,2.1,28,23,779,8169,0.006727387,1.440422297,0.020463868,1.445715189,0.018586482,1.448136806,float64,0.955223881,0.840909091,0.822222222,0.831460674
Bagging Classifier,2.1,124,3,2340,8169,0.034324563,1.410513163,0.27887716,1.754823923,0.045020431,1.474905014,float64,0.952143569,0.86440678,0.76119403,0.80952381
Random Forest,2.1,86,12,1559,8169,0.010255447,1.449118853,0.853083885,2.0733428,0.140140238,1.480901957,float64,0.955156951,1,0.666666667,0.8
AdaBoost,2.1,104,4,2340,8169,0.01176411,1.451657057,0.411039984,1.962659121,0.045993661,1.511469126,float64,0.953140578,0.865546218,0.768656716,0.814229249
SVM,2.2,16,17,3900,4901,0.016026999,1.454617023,0.529400609,1.989528656,0.268408573,1.687974215,float64,0.828349282,0.431965443,0.892857143,0.58224163
SVM,2.2,12,2,3900,1633,0.027259722,1.420112133,0.430878875,1.764600992,0.116732555,1.568506956,float64,0.828349282,0.431965443,0.892857143,0.58224163
Bagging Classifier,2.1,127,26,1169,8169,0.01003174,1.453571796,0.095196381,1.57880497,0.026413467,1.454201937,float64,0.948207171,0.859649123,0.731343284,0.790322581
Bagging Classifier,2.1,124,10,2340,8169,0.011202685,1.444686651,0.359459496,1.788026094,0.128225119,1.474174023,float64,0.95114656,0.857142857,0.76119403,0.806324111
KNN,2.2,77,21,3900,5718,0.046607965,1.431736231,0.0111124,1.426995993,0.252176295,1.740805149,float64,0.88576555,1,0.147321429,0.256809339
Decision Tree,2.1,26,20,1559,8169,0.009984263,1.440732002,0.037673023,1.47416091,0.028074499,1.490833998,float64,0.964125561,0.902439024,0.822222222,0.860465116
SVM,2.2,16,24,3900,4901,0.02521186,1.468096972,0.587139404,1.978592873,0.173587025,1.674372196,float64,0.828349282,0.431965443,0.892857143,0.58224163
AdaBoost,2.2,117,14,3900,5718,0.031955404,1.461959839,0.573820411,2.109248161,0.067500593,1.518537045,float64,0.970095694,0.914285714,0.857142857,0.884792627
AdaBoost,2.1,105,17,1950,8169,0.010370892,1.461127043,0.583110708,1.82624197,0.106189469,1.502316952,float64,0.965311005,0.887850467,0.848214286,0.867579909
Decision Tree,2.1,22,27,3119,8169,0.007041559,1.445676088,0.075549769,1.553897142,0.059978024,1.467514992,float64,0.956651719,0.854651163,0.816666667,0.835227273
KNN,2.1,66,12,1559,8169,0.010159378,1.446081638,0.005855886,1.450862169,0.062269938,1.519798994,float64,0.917787743,0.733333333,0.611111111,0.666666667
AdaBoost,2.1,101,3,3509,8169,0.010604697,1.437938929,0.661699252,2.280682087,0.087898598,1.491090775,float64,0.955481728,0.860962567,0.797029703,0.827763496
Random Forest,2.2,97,0,3900,5718,0.017154183,1.466230154,1.679466697,3.100040913,0.08911514,1.522741079,float64,0.976076555,0.979166667,0.839285714,0.903846154
AdaBoost,2.1,108,14,779,8169,0.011459009,1.444046974,0.217700479,1.627609968,0.028128377,1.466151953,float64,0.970149254,0.906976744,0.866666667,0.886363636
Random Forest,2.2,91,23,3900,817,0.047681954,1.437608004,2.011501032,2.072011948,0.182752168,1.509757042,float64,0.974880383,0.978947368,0.830357143,0.898550725
KNN,2.2,76,5,3900,4901,0.038687809,1.443385839,0.022405994,1.445189238,0.587582918,1.70853591,float64,0.879784689,1,0.102678571,0.186234818
SVM,2.2,14,20,3900,3268,0.024127765,1.44727397,0.324235104,1.935373068,0.197197589,1.661144972,float64,0.828349282,0.431965443,0.892857143,0.58224163
KNN,2.1,70,21,3900,8169,0.00077628,1.438156128,0.009138017,1.440403938,0.249803403,1.743532181,float64,0.93361244,0.792746114,0.683035714,0.73381295
Decision Tree,2.2,38,3,3900,6535,0.015841842,1.460413218,0.080273828,1.542881966,0.04553041,1.487645149,float64,0.960526316,0.852678571,0.852678571,0.852678571
Bagging Classifier,2.1,127,11,1169,8169,0.006575337,1.439502716,0.136428532,1.574157715,0.025025028,1.479803801,float64,0.948207171,0.847457627,0.746268657,0.793650794
KNN,2.2,75,3,3900,4084,0.027038587,1.445510149,0.010818595,1.44246912,0.307969149,1.730076075,float64,0.869019139,1,0.022321429,0.043668122
Bagging Classifier,2.2,140,23,3900,8169,0.000875167,1.440500021,0.628028554,2.13755393,0.065242125,1.512785912,float64,0.964114833,0.918367347,0.803571429,0.857142857
Bagging Classifier,2.2,137,21,3900,5718,0.025085199,1.453099966,0.558980786,2.071515083,0.058520885,1.497789145,float64,0.963516746,0.909547739,0.808035714,0.855791962
AdaBoost,2.1,104,10,2340,8169,0.010444724,1.445990801,0.433506783,1.93149066,0.048546545,1.494612932,float64,0.953140578,0.865546218,0.768656716,0.814229249
Decision Tree,2.2,32,16,3900,1633,0.026041444,1.462011099,0.062956046,1.494345903,0.042490132,1.499375105,float64,0.964114833,0.872727273,0.857142857,0.864864865
Decision Tree,2.1,27,25,1169,8169,0.010164468,1.453877926,0.027227342,1.461603165,0.01700428,1.460928917,float64,0.952191235,0.852459016,0.776119403,0.8125
Random Forest,2.2,97,19,3900,5718,0.025173777,1.453777313,1.689382177,3.076874971,0.087401247,1.561935902,float64,0.976674641,1,0.825892857,0.904645477
Bagging Classifier,2.1,123,20,2730,8169,0.011949679,1.460561037,0.349311377,1.855850935,0.034637087,1.501599073,float64,0.955555556,0.883211679,0.770700637,0.823129252
AdaBoost,2.2,116,13,3900,4901,0.0251612,1.446344852,0.475477897,2.009516954,0.072545383,1.533525944,float64,0.969497608,0.913875598,0.852678571,0.88221709
SVM,2.2,18,13,3900,6535,0.017668315,1.464748144,0.404029073,1.994212151,0.27007428,1.702749014,float64,0.828349282,0.431965443,0.892857143,0.58224163
KNN,2.1,62,14,3119,8169,0.009725377,1.462741137,0.008039037,1.438562155,0.187088855,1.669279814,float64,0.912556054,0.711409396,0.588888889,0.6443769
Decision Tree,2.1,25,14,1950,8169,0.009863561,1.459404945,0.053018236,1.494217157,0.031750078,1.478147984,float64,0.954545455,0.849056604,0.803571429,0.825688073
KNN,2.2,71,29,3900,817,0.026588223,1.461665869,0.009253052,1.42798686,0.254357675,1.749424219,float64,0.867822967,1,0.013392857,0.026431718
Bagging Classifier,2.2,136,22,3900,4901,0.025060209,1.460795879,0.45004872,2.006862164,0.058426416,1.521566868,float64,0.958133971,0.87745098,0.799107143,0.836448598
Random Forest,2.1,83,8,2730,8169,0.008062135,1.44649601,1.463697713,2.739652157,0.625509652,1.448831081,float64,0.976068376,1,0.821656051,0.902097902
AdaBoost,2.2,113,21,3900,2451,0.016442685,1.463583946,0.283434177,1.882390022,0.067014593,1.526036978,float64,0.967703349,0.908653846,0.84375,0.875
Random Forest,2.1,88,24,779,8169,0.006188394,1.456230164,0.267795352,1.757269859,0.029086755,1.473238945,float64,0.958208955,1,0.688888889,0.815789474
AdaBoost,2.1,108,7,779,8169,0.009706737,1.453411818,0.142132501,1.604918003,0.028629256,1.480190039,float64,0.970149254,0.906976744,0.866666667,0.886363636
Bagging Classifier,2.2,140,29,3900,8169,0.000517034,1.449187994,0.698041157,2.151261091,0.061971376,1.506597996,float64,0.962320574,0.888888889,0.821428571,0.853828306
Random Forest,2.1,90,24,3900,8169,0.000439922,1.454037905,3.06819961,3.436933279,0.214444202,1.549378872,float64,0.976076555,0.974226804,0.84375,0.90430622
SVM,2.2,15,20,3900,4084,0.024758748,1.468086004,0.418172731,1.981188774,0.205210249,1.68829298,float64,0.828349282,0.431965443,0.892857143,0.58224163
AdaBoost,2.2,112,24,3900,1633,0.023702266,1.454391003,0.223760976,1.765682936,0.089701977,1.505906105,float64,0.966507177,0.911764706,0.830357143,0.869158879
Bagging Classifier,2.1,123,24,2730,8169,0.006580211,1.4448421,0.288784027,1.876456976,0.047012098,1.486109257,float64,0.958974359,0.897810219,0.78343949,0.836734694
AdaBoost,2.1,109,22,389,8169,0.014144812,1.461052179,0.118921432,1.559138775,0.018116794,1.441372871,float64,0.958333333,0.9,0.782608696,0.837209302
SVM,2.1,4,1,2340,8169,0.010494047,1.450109959,0.18420817,1.677192926,0.095736497,1.55459404,float64,0.80558325,0.395904437,0.865671642,0.543325527
Random Forest,2.2,91,6,3900,817,0.023790228,1.478787184,0.365988007,2.044035912,0.084796153,1.533627987,float64,0.974880383,0.973958333,0.834821429,0.899038462
Decision Tree,2.1,26,17,1559,8169,0.010621668,1.422957897,0.036907009,1.494180679,0.026535958,1.479627609,float64,0.967115097,0.904761905,0.844444444,0.873563218
SVM,2.1,5,24,1950,8169,0.009946204,1.449505091,0.156371957,1.597438812,0.092452675,1.523741961,float64,0.820574163,0.416666667,0.848214286,0.558823529
SVM,2.1,2,29,3119,8169,0.007028641,1.433113098,0.772629118,1.834118128,0.328982889,1.587432146,float64,0.835575486,0.445054945,0.9,0.595588235
Bagging Classifier,2.1,129,9,389,8169,0.018802604,1.432240009,0.048439378,1.501453161,0.019191577,1.450824976,float64,0.904761905,0.705882353,0.52173913,0.6
KNN,2.2,72,1,3900,1633,0.016253065,1.460932016,0.00938973,1.441049814,0.241821124,1.731225014,float64,0.868421053,1,0.017857143,0.035087719
SVM,2.1,5,2,1950,8169,0.010374122,1.459978104,0.190462636,1.613144875,0.07572126,1.51967001,float64,0.820574163,0.416666667,0.848214286,0.558823529
AdaBoost,2.1,101,7,3509,8169,0.01017962,1.457792997,0.570131835,2.280421019,0.07154316,1.531991005,float64,0.955481728,0.860962567,0.797029703,0.827763496
SVM,2.2,18,29,3900,6535,0.025940272,1.452342749,0.587148837,2.003897905,0.18310931,1.695677996,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.2,97,20,3900,5718,0.027042499,1.457357168,1.027443032,3.04157114,0.089313127,1.558910131,float64,0.977870813,1,0.834821429,0.909975669
Bagging Classifier,2.2,138,18,3900,6535,0.016780638,1.477207661,0.446503583,2.061942101,0.06083186,1.522016048,float64,0.96291866,0.905,0.808035714,0.853773585
Bagging Classifier,2.1,125,14,1950,8169,0.010633667,1.458941936,0.265999136,1.738154888,0.0283568,1.477411032,float64,0.954545455,0.920454545,0.723214286,0.81
Decision Tree,2.1,24,15,2340,8169,0.010381566,1.454988003,0.08284214,1.486678123,0.044306273,1.457062006,float64,0.943170489,0.789473684,0.78358209,0.786516854
KNN,2.1,62,29,3119,8169,0.00649789,1.440186977,0.007869978,1.465815067,0.196305697,1.661367178,float64,0.912556054,0.711409396,0.588888889,0.6443769
AdaBoost,2.2,116,26,3900,4901,0.027467144,1.46259594,0.479855305,2.018409014,0.171384207,1.495003223,float64,0.970095694,0.914285714,0.857142857,0.884792627
KNN,2.2,77,25,3900,5718,0.015653198,1.473001957,0.009580603,1.453126907,0.254234046,1.748599052,float64,0.88576555,1,0.147321429,0.256809339
KNN,2.2,80,23,3900,8169,0.000850743,1.425853968,0.009054203,1.439558029,0.254980222,1.746387005,float64,0.93361244,0.792746114,0.683035714,0.73381295
KNN,2.2,71,4,3900,817,0.016406679,1.445772171,0.013878907,1.438748837,0.608923097,1.754011869,float64,0.867822967,1,0.013392857,0.026431718
Random Forest,2.1,86,13,1559,8169,0.009604912,1.46048069,0.538453087,2.071877003,0.045466943,1.498099089,float64,0.962630792,1,0.722222222,0.838709677
Decision Tree,2.2,39,19,3900,7352,0.025098718,1.446189165,0.112375573,1.594386101,0.066848194,1.487620831,float64,0.961722488,0.857142857,0.857142857,0.857142857
Decision Tree,2.2,35,3,3900,4084,0.031277729,1.452837944,0.10242093,1.524976969,0.057678839,1.492320061,float64,0.961722488,0.87037037,0.839285714,0.854545455
KNN,2.1,70,12,3900,8169,0.000545228,1.451514959,0.009747109,1.445662022,0.367807518,1.71967411,float64,0.93361244,0.792746114,0.683035714,0.73381295
KNN,2.1,61,16,3509,8169,0.010577083,1.449390888,0.009185607,1.434345007,0.259156153,1.696918011,float64,0.922259136,0.717948718,0.693069307,0.705289673
Random Forest,2.1,83,0,2730,8169,0.010372866,1.471976995,3.414907549,2.712602139,0.06844725,1.487432957,float64,0.975213675,1,0.815286624,0.898245614
Random Forest,2.2,94,11,3900,3268,0.026988022,1.452952147,1.271307807,2.729143143,0.11380142,1.528455973,float64,0.979066986,0.989637306,0.852678571,0.916067146
Random Forest,2.1,90,28,3900,8169,0.000614913,1.45420289,1.336646936,3.432730675,0.087269689,1.564578056,float64,0.979665072,1,0.848214286,0.917874396
AdaBoost,2.1,101,0,3509,8169,0.010475083,1.461714745,0.636653715,2.273603201,0.053063381,1.516965866,float64,0.955481728,0.860962567,0.797029703,0.827763496
KNN,2.1,68,6,779,8169,0.009861764,1.445437908,0.004204699,1.454688072,0.031345873,1.474781036,float64,0.898507463,0.657142857,0.511111111,0.575
Bagging Classifier,2.1,130,18,3900,8169,0.000626682,1.442573071,0.70946712,2.18827796,0.059087671,1.530715942,float64,0.95992823,0.890547264,0.799107143,0.842352941
SVM,2.1,1,25,3509,8169,0.010521383,1.447528839,0.481297871,1.904600859,0.197289767,1.672495842,float64,0.804651163,0.398678414,0.896039604,0.551829268
Decision Tree,2.1,23,16,2730,8169,0.00715896,1.446827888,0.082560849,1.520694017,0.066316269,1.514436722,float64,0.952991453,0.84,0.802547771,0.820846906
SVM,2.2,20,23,3900,8169,0.000854403,1.444326162,0.513119911,2.083001137,0.237954066,1.720972061,float64,0.828349282,0.431965443,0.892857143,0.58224163
Bagging Classifier,2.2,140,5,3900,8169,0.000634244,1.42514801,0.761383167,2.189124107,0.072698858,1.50590229,float64,0.967105263,0.912195122,0.834821429,0.871794872
Bagging Classifier,2.1,122,20,3119,8169,0.011553298,1.463160992,0.463351761,1.94552207,0.056499605,1.489019871,float64,0.956651719,0.88125,0.783333333,0.829411765
SVM,2.2,11,17,3900,817,0.06546149,1.468644142,0.237691121,1.711161137,0.121627169,1.583142042,float64,0.828349282,0.431965443,0.892857143,0.58224163
Decision Tree,2.2,32,1,3900,1633,0.033699612,1.427582979,0,1.501569033,0.052016225,1.500519753,float64,0.95992823,0.861751152,0.834821429,0.848072562
Bagging Classifier,2.2,138,25,3900,6535,0.024950004,1.475035906,0.534875142,2.110790968,0.053444568,1.514345884,float64,0.964114833,0.914141414,0.808035714,0.857819905
Bagging Classifier,2.2,140,12,3900,8169,0.000677172,1.419647932,0.476180783,2.144708872,0.046496522,1.503675222,float64,0.961722488,0.9,0.803571429,0.849056604
Bagging Classifier,2.2,137,27,3900,5718,0.025437418,1.475296021,0.511385155,2.025222063,0.059283924,1.502040863,float64,0.963516746,0.905472637,0.8125,0.856470588
SVM,2.1,6,3,1559,8169,0.006473307,1.440681934,0.085980369,1.534392118,0.105453851,1.481053829,float64,0.828101644,0.435897436,0.944444444,0.596491228
AdaBoost,2.1,108,15,779,8169,0.006402193,1.432370901,0.208862911,1.614109039,0.060706408,1.455609798,float64,0.970149254,0.906976744,0.866666667,0.886363636
Bagging Classifier,2.1,128,20,779,8169,0.009834128,1.436998844,0.090293924,1.549832106,0.022036778,1.445796251,float64,0.96119403,1,0.711111111,0.831168831
SVM,2.1,9,27,389,8169,0.009458929,1.429920673,0.012877865,1.474210978,0.01428899,1.452392101,float64,0.797619048,0.387755102,0.826086957,0.527777778
Random Forest,2.1,85,3,1950,8169,0.009599972,1.450588226,0.89936483,2.239754915,0.063130264,1.511059046,float64,0.976076555,1,0.821428571,0.901960784
Decision Tree,2.1,26,21,1559,8169,0.006715275,1.443644047,0.038677829,1.502959013,0.027516871,1.468440771,float64,0.958146487,0.860465116,0.822222222,0.840909091
SVM,2.1,5,28,1950,8169,0.00926527,1.419991732,0.19656592,1.596404791,0.08352393,1.516524792,float64,0.820574163,0.416666667,0.848214286,0.558823529
KNN,2.1,67,29,1169,8169,0.023510293,1.415866852,0.016520398,1.445371151,0.088156594,1.462573051,float64,0.916334661,0.727272727,0.597014925,0.655737705
AdaBoost,2.2,115,15,3900,4084,0.02757699,1.446311951,0.418999707,1.947339058,0.069646211,1.543018103,float64,0.969497608,0.913875598,0.852678571,0.88221709
AdaBoost,2.1,103,9,2730,8169,0.007690201,1.469517708,0.609333585,2.038740873,0.040974007,1.488336086,float64,0.956410256,0.873239437,0.789808917,0.829431438
SVM,2.2,15,1,3900,4084,0.016057033,1.46612215,0.552918547,1.98335886,0.223715773,1.673532963,float64,0.828349282,0.431965443,0.892857143,0.58224163
AdaBoost,2.1,102,6,3119,8169,0.006660233,1.450381041,0.706485505,2.150779009,0.068027611,1.50868082,float64,0.963378176,0.928104575,0.788888889,0.852852853
Decision Tree,2.1,27,15,1169,8169,0.01128054,1.442899942,0.027209412,1.476264954,0.022068969,1.462043047,float64,0.948207171,0.825396825,0.776119403,0.8
Bagging Classifier,2.2,137,5,3900,5718,0.016143417,1.445536852,0.384352602,2.070722818,0.062174175,1.505561829,float64,0.964712919,0.906403941,0.821428571,0.861826698
Random Forest,2.1,86,1,1559,8169,0.010126763,1.441597939,0.535259013,2.081711054,0.048524535,1.508867979,float64,0.959641256,1,0.7,0.823529412
Bagging Classifier,2.2,136,19,3900,4901,0.027063751,1.456573009,0.508099102,2.034774065,0.056611221,1.497648001,float64,0.965909091,0.899521531,0.839285714,0.868360277
AdaBoost,2.2,115,3,3900,4084,0.016904015,1.448394775,0.505072032,1.951025009,0.120552487,1.526216984,float64,0.970095694,0.914285714,0.857142857,0.884792627
SVM,2.2,13,13,3900,2451,0.018064822,1.461689949,1.019086074,1.843608856,0.486966736,1.607339144,float64,0.828349282,0.431965443,0.892857143,0.58224163
Bagging Classifier,2.1,126,17,1559,8169,0.010173417,1.440901995,0.168182249,1.645234346,0.031954064,1.475113869,float64,0.947683109,0.898550725,0.688888889,0.779874214
KNN,2.2,73,4,3900,2451,0.049785451,1.478213787,0.011296716,1.467287064,0.316313828,1.751297235,float64,0.86722488,1,0.008928571,0.017699115
AdaBoost,2.1,106,26,1559,8169,0.011181837,1.450623989,0.302471342,1.771223068,0.038766128,1.494473934,float64,0.959641256,0.879518072,0.811111111,0.843930636
SVM,2.2,12,3,3900,1633,0.028502117,1.457316875,0.340317504,1.751843929,0.137901555,1.596249819,float64,0.828349282,0.431965443,0.892857143,0.58224163
SVM,2.2,14,16,3900,3268,0.025615117,1.471281052,0.400699212,1.930127859,0.192774666,1.652441978,float64,0.828349282,0.431965443,0.892857143,0.58224163
Decision Tree,2.2,37,11,3900,5718,0.027061781,1.460721016,0.098388405,1.560123205,0.044305064,1.501882792,float64,0.962320574,0.870967742,0.84375,0.857142857
Random Forest,2.1,90,27,3900,8169,0.000814693,1.438309908,1.926615177,3.371807098,0.137032754,1.504724026,float64,0.977272727,0.984375,0.84375,0.908653846
SVM,2.2,16,2,3900,4901,0.243615252,1.426355124,6.977830387,2.074350119,0.157751253,1.681174994,float64,0.828349282,0.431965443,0.892857143,0.58224163
SVM,2.2,19,22,3900,7352,0.016557559,1.444689989,0.582715515,2.024877071,0.326897586,1.696101189,float64,0.828349282,0.431965443,0.892857143,0.58224163
Bagging Classifier,2.2,136,18,3900,4901,0.02590308,1.454244852,0.427109612,2.004772902,0.046628555,1.50687623,float64,0.965909091,0.907317073,0.830357143,0.867132867
SVM,2.2,15,4,3900,4084,0.029911867,1.443268776,0.430913673,1.951048136,0.199449136,1.668072224,float64,0.828349282,0.431965443,0.892857143,0.58224163
SVM,2.1,5,18,1950,8169,0.006797798,1.440523863,0.131937018,1.601928949,0.079477012,1.525353909,float64,0.820574163,0.416666667,0.848214286,0.558823529
KNN,2.2,77,24,3900,5718,0.018937522,1.468081236,0.007566205,1.471208811,0.252286129,1.704582214,float64,0.88576555,1,0.147321429,0.256809339
AdaBoost,2.2,120,0,3900,8169,0.000782976,1.441788912,0.644384072,2.415082932,0.069611791,1.530972958,float64,0.968301435,0.913043478,0.84375,0.877030162
Decision Tree,2.1,29,1,389,8169,0.00689347,1.448956013,0.013972495,1.430842161,0.011689437,1.455513,float64,0.916666667,0.736842105,0.608695652,0.666666667
Decision Tree,2.1,23,4,2730,8169,0.024236632,1.444864988,0.076291275,1.554898977,0.03450786,1.485571146,float64,0.952991453,0.844594595,0.796178344,0.819672131
Bagging Classifier,2.2,137,4,3900,5718,0.016063615,1.462423801,0.636460664,2.043426037,0.076845278,1.509438276,float64,0.964712919,0.910447761,0.816964286,0.861176471
AdaBoost,2.1,108,24,779,8169,0.009958322,1.445550203,0.207591832,1.615134001,0.04301653,1.453511,float64,0.970149254,0.906976744,0.866666667,0.886363636
SVM,2.1,3,13,2730,8169,0.00582436,1.463987112,0.251295955,1.756732941,0.134410207,1.593909025,float64,0.828205128,0.432515337,0.898089172,0.583850932
AdaBoost,2.1,108,25,779,8169,0.010522169,1.453684092,0.119231957,1.605394125,0.035093204,1.442913055,float64,0.970149254,0.906976744,0.866666667,0.886363636
SVM,2.2,14,17,3900,3268,0.024353979,1.470495939,0.39700074,1.935769796,0.191434222,1.658593178,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.1,90,19,3900,8169,0.000531241,1.44246912,3.656896598,3.382977009,0.117284528,1.534962893,float64,0.976076555,0.989361702,0.830357143,0.902912621
SVM,2.1,4,26,2340,8169,0.011060871,1.456308126,0.17925747,1.656579018,0.103199183,1.559024811,float64,0.80558325,0.395904437,0.865671642,0.543325527
