algorithm,RQ,experiment_id,iteration,no_datapoints,no_features,preprocessing_energy(J),preprocessing_time(s),train_energy(J),train_time(s),predict_energy(J),predict_time(s),datatype,accuracy,precision,recall,f1
Decision Tree,2.1,27,1,1169,8169,0.00984887,1.443062067,0.039859335,1.445189953,0.030421352,1.431079865,float64,0.954183267,0.84375,0.805970149,0.824427481
Random Forest,2.2,92,29,3900,1633,0.027239026,1.446478128,1.585521053,2.415944815,0.233617707,1.50622797,float64,0.974282297,0.994535519,0.8125,0.894348894
Bagging Classifier,2.1,127,24,1169,8169,0.010946527,1.424317837,0.181736035,1.55567193,0.037612342,1.471282005,float64,0.952191235,0.877192982,0.746268657,0.806451613
Decision Tree,2.1,27,12,1169,8169,0.011462809,1.448079824,0.025840961,1.452813625,0.016576961,1.451510191,float64,0.952191235,0.830769231,0.805970149,0.818181818
Decision Tree,2.2,35,25,3900,4084,0.016732165,1.457587957,0.092735197,1.532289982,0.053715001,1.503965855,float64,0.963516746,0.868778281,0.857142857,0.862921348
SVM,2.1,1,4,3509,8169,0.006762757,1.418147802,0.459827559,1.930547237,0.203454919,1.661372185,float64,0.804651163,0.398678414,0.896039604,0.551829268
KNN,2.2,78,7,3900,6535,0.016777836,1.472395897,0.011463178,1.439156055,0.354324766,1.746213913,float64,0.889354067,0.975609756,0.178571429,0.301886792
SVM,2.1,10,21,3900,8169,0.000907616,1.406635046,0.559435238,2.050004005,0.227293564,1.695672989,float64,0.828349282,0.431965443,0.892857143,0.58224163
Decision Tree,2.2,36,12,3900,4901,0.029423222,1.456892014,0.076997861,1.541571856,0.069540498,1.510355949,float64,0.961124402,0.869767442,0.834821429,0.851936219
Random Forest,2.2,92,22,3900,1633,0.0258307,1.453105927,0.889758991,2.439077854,0.099853806,1.519524097,float64,0.976674641,0.989417989,0.834821429,0.905569007
SVM,2.2,17,29,3900,5718,0.026061725,1.439393997,0.483663435,1.988805056,0.174060144,1.692301989,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.1,85,29,1950,8169,0.007777041,1.451108694,0.525352306,2.272216082,0.056098672,1.493330002,float64,0.972488038,1,0.794642857,0.885572139
KNN,2.1,63,13,2730,8169,0.006788571,1.435907841,0.006075418,1.433434963,0,1.588435173,float64,0.913675214,0.712121212,0.598726115,0.650519031
AdaBoost,2.1,102,0,3119,8169,0.010302757,1.4220438,0.567806924,2.155949831,0.057547683,1.497687101,float64,0.963378176,0.928104575,0.788888889,0.852852853
AdaBoost,2.2,118,2,3900,6535,0.024024467,1.478697062,0.601454474,2.159965992,0.083431834,1.51616478,float64,0.968301435,0.913043478,0.84375,0.877030162
Random Forest,2.2,97,21,3900,5718,0.017723245,1.441999912,1.596452795,3.040444851,0.091296516,1.528201818,float64,0.979066986,1,0.84375,0.915254237
Decision Tree,2.1,25,20,1950,8169,0.006499943,1.461535931,0.039470334,1.50829792,0.037869164,1.479146004,float64,0.944976077,0.83,0.741071429,0.783018868
AdaBoost,2.1,104,18,2340,8169,0.011115643,1.438102007,0.446520248,1.92418313,0.04504315,1.489364862,float64,0.953140578,0.865546218,0.768656716,0.814229249
Decision Tree,2.1,26,25,1559,8169,0.010200968,1.446073771,0.075376709,1.484606981,0.022007406,1.47409606,float64,0.964125561,0.9125,0.811111111,0.858823529
Random Forest,2.1,89,3,389,8169,0.009844119,1.454619884,0.153981799,1.60555172,0.027903583,1.463386297,float64,0.94047619,1,0.565217391,0.722222222
Bagging Classifier,2.2,135,22,3900,4084,0.027263727,1.44453907,0.479597974,1.979962826,0.057570946,1.515386105,float64,0.964114833,0.905940594,0.816964286,0.85915493
AdaBoost,2.2,119,13,3900,7352,0.025372753,1.45045495,0.593741326,2.280461788,0.070263418,1.512006283,float64,0.968899522,0.913461538,0.848214286,0.87962963
AdaBoost,2.1,102,7,3119,8169,0.006595512,1.436363935,0.497010857,2.132185221,0.057397204,1.499409914,float64,0.962630792,0.922077922,0.788888889,0.850299401
Decision Tree,2.1,29,23,389,8169,0.009907664,1.434517145,0.007702355,1.443037271,0.010827787,1.463768959,float64,0.904761905,0.705882353,0.52173913,0.6
KNN,2.1,62,13,3119,8169,0.011244486,1.447159052,0.01511777,1.415124893,0.41954072,1.632808924,float64,0.912556054,0.711409396,0.588888889,0.6443769
Bagging Classifier,2.1,121,8,3509,8169,0.007169515,1.440235853,0.614540638,1.975043058,0.068760663,1.485274792,float64,0.958139535,0.879781421,0.797029703,0.836363636
AdaBoost,2.2,115,18,3900,4084,0.024402486,1.438858986,0.422989439,1.952045202,0.066564114,1.507407904,float64,0.969497608,0.913875598,0.852678571,0.88221709
Decision Tree,2.2,38,27,3900,6535,0.026914691,1.471970081,0.107618951,1.582911968,0.056274322,1.473855257,float64,0.95992823,0.85520362,0.84375,0.849438202
Bagging Classifier,2.2,131,29,3900,817,0.025445891,1.455215931,0.162723335,1.625810862,0.065038326,1.478373051,float64,0.967105263,0.92039801,0.825892857,0.870588235
KNN,2.1,68,0,779,8169,0.010336036,1.431817293,0.004556609,1.447651148,0.032689433,1.454591036,float64,0.898507463,0.657142857,0.511111111,0.575
Decision Tree,2.1,24,21,2340,8169,0.017405037,1.431220055,0.040918383,1.513334036,0.043613215,1.463610172,float64,0.945164506,0.811023622,0.768656716,0.789272031
Decision Tree,2.2,34,29,3900,3268,0.025940189,1.464348316,0.080850461,1.542261839,0.056203078,1.492422819,float64,0.964114833,0.872727273,0.857142857,0.864864865
SVM,2.2,14,18,3900,3268,0.018421761,1.466647625,0.32698224,1.925318241,0.195715549,1.666842222,float64,0.828349282,0.431965443,0.892857143,0.58224163
KNN,2.1,64,20,2340,8169,0.01024158,1.442154169,0.006941723,1.435199976,0.125644357,1.569014788,float64,0.90329013,0.67961165,0.52238806,0.5907173
Bagging Classifier,2.2,135,21,3900,4084,0.050969958,1.451009035,0.482499682,1.964745998,0.057648471,1.496239901,float64,0.962320574,0.904522613,0.803571429,0.85106383
SVM,2.2,13,24,3900,2451,0.025460774,1.455510139,0.272478864,1.84515214,0.208778132,1.615249157,float64,0.828349282,0.431965443,0.892857143,0.58224163
Random Forest,2.2,100,23,3900,8169,0.000805515,1.421225786,2.126770571,3.404623985,0.096139918,1.534781933,float64,0.9784689,0.984536082,0.852678571,0.913875598
SVM,2.2,16,27,3900,4901,0.026597811,1.458436966,0.565146998,1.970316172,0.288433704,1.670527935,float64,0.828349282,0.431965443,0.892857143,0.58224163
Decision Tree,2.1,26,2,1559,8169,0.010365211,1.443719864,0.049350491,1.468194962,0.03782889,1.442708015,float64,0.953662182,0.883116883,0.755555556,0.814371257
Random Forest,2.2,93,18,3900,2451,0.025362257,1.44025898,1.246482411,2.677996159,0.152548718,1.520593882,float64,0.975478469,1,0.816964286,0.899262899
KNN,2.2,77,15,3900,5718,0.026441672,1.441682339,0.014422115,1.437523842,0.292104315,1.728346109,float64,0.88576555,1,0.147321429,0.256809339
AdaBoost,2.2,113,20,3900,2451,0.016160001,1.457603216,0.446530649,1.871626854,0.068654833,1.499449968,float64,0.967703349,0.908653846,0.84375,0.875
KNN,2.2,76,15,3900,4901,0.024790782,1.452845097,0.016886626,1.439077854,0.513596695,1.69725585,float64,0.879784689,1,0.102678571,0.186234818
Decision Tree,2.2,36,29,3900,4901,0.037260774,1.440114975,0.205874794,1.524276972,0.056774439,1.498937845,float64,0.962320574,0.857777778,0.861607143,0.859688196
